# company number	Partner 1	Partner 2	Partner 3	Partner 4
576	Chemelot Ventures	NV Industriebank LIOF	Limburg Ventures	MKB Leningenfonds
577				
578				
579				
580				
581				
582	Solid Ventures			
583	Startupbootcamp Commerce Amsterdam			
584				
585	Innovation Fund Macedonia			
586	Mainport Innovation Fund			
587	Startupbootcamp Smart City & IoT Amsterdam			
588				
589				
590	Sandbridge Capital	Health Innovation Fund	Thuja Capital	NV Industriebank LIOF
591	DOEN Participaties			
592				
593	Gregory Marschall			
594				
595				
596	Highland Europe	Keensight Capital	Saffron Hill Ventures	
597				
598				
599				
600				
601				
602				
603	Startupbootcamp Commerce Amsterdam			
604				
605				
606				
607				
608				
609				
610				
611				
612	Holland Venture	InvestInFuture		
613	Startupbootcamp Smart City & IoT Amsterdam	3S Landing Pad		
614	INKEF Capital			
615	BioGeneration Ventures	Thuja Capital	OostNL	David Pyott
616				
617				
618				
619				
620				
621				
622				
623				
624				
625				
626				
627	Lead Edge Capital	Peak Capital	Northzone	Project A Ventures
628				
629				
630	EQT Ventures	Rockstart	Hearst Ventures	Endeit Capital
631				
632	DHG	DHG Communications Network BV		
633				
634				
635	Nedermaas Hightech Ventures	Limburg Ventures	Eric Kaathoven	
636				
637				
638	Startupbootcamp Commerce Amsterdam			
639				
640	ENERGIIQ	Finindus		
641	EASME - EU Executive Agency for SMEs			
642				
643				
644	Booking.com			
645				
646	Climate & Energy Fund of Amsterdam	Stichting DOEN		
647				
648				
649	Right Side Capital Management	Techstars Connection		
650				
651				
652				
653	RSV Venture Partners	iDealMachine		
654				
655				
656				
657	Microsoft Accelerator London			
658	Thuja Capital			
659				
660	Leapfunder			
661	EASME - EU Executive Agency for SMEs			
662	Bob Breeman	Yillmaz Schoen		
663				
664				
665				
666				
667				
668				
669				
670				
671				
672				
673	VisVires New Protein	Evonik Venture Capital	Leiden University	
674				
675	Evelijn Zikken			
676				
677				
678	Startupbootcamp Commerce Amsterdam			
679				
680	Startupbootcamp HighTechXL			
681				
682				
683	Boost VC	theConstruct	Space3ac	DataVentures.io
684				
685				
686	Dutch Founders Fund			
687				
688				
689				
690				
691				
692	Thuja Capital			
693				
694				
695				
696				
697	EASME - EU Executive Agency for SMEs	Mainport Innovation Fund		
698	DOEN Participaties			
699				
700				
701				
702				
703	Johann "Hansi" Hansmann			
704				
705				
706				
707				
708				
709	SHIFT Invest			
710	Yellow&Blue Investment Management			
711	Maneck Ventures	Agash Navaranjan	Barend Raaff	Matthijs Metzemaekers
712				
713	Capital Mills	Startupbootcamp Amsterdam		
714				
715				
716	BioGeneration Ventures			
717	Chrysalix Venture Capital			
718				
719	GGM Capital			
720				
721				
722				
723	Innovatiefonds Noord-Holland	TechNano Fund		
724				
725				
726				
727				
728				
729				
730	Rabobank	Startupbootcamp Smart Materials		
731	Taxi Baan	Houttequiet		
732				
733				
734				
735				
736				
737				
738				
739				
740				
741				
742	XRC Labs			
743	The Next Women			
744	LEO Innovation Lab	PHS Capital		
745	Omidyar Network	SolarCity	United States Agency for International Development	Vulcan Capital
746				
747	KPN Ventures	Keen Venture Partners		
